Aleja Gwiazd Żużla;Inne
Aleja Marii Jaremy;Patroni
Aleja Powstania Warszawskiego;Historyczne
Aleja Tadeusza Kościuszki;Patroni
Aleja Tadeusza Różewicza;Patroni
Aleja Tenisistów;Techniczne
Alejka "Kozucha Kłamczucha";Inne
Alejka Marka Sienickiego;Patroni
Leśnictwo;Techniczne
Leśniczówka;Techniczne
Most Brodzki;Neutralne
Most Młyński;Techniczne
Most Zwierzyniecki;Neutralne
Nabrzeże Kujawskie;Geograficzne
Ogród Strzelecki;Techniczne
Os. Praciaki;Inne
Osiedle Bukowa;Przyrodnicze
Osiedle Kliny Borkowskie;Przyrodnicze
Osiedle Kuce;Inne
Osiedle Nad Łąkami;Przyrodnicze
Osiedle Uczonych;Techniczne
Osiedle Wysokie;Neutralne
Park Dworcowy;Techniczne
Park Oruński im. Emilii Hoene;Patroni
Park Solidarności;Historyczne
Park Zaczarowanej Dorożki;Inne
Park im. Mecenasa Zygmunta Kortyńskiego;Patroni
Park im. Piotra Starosty;Patroni
Pasaż bł. ks. Franciszka Drzewieckiego;Patroni
Plac Bałtycki;Geograficzne
Plac Dwóch Miast;Geograficzne
Plac Energetyka;Techniczne
Plac Farny;Inne
Plac Ireneusza Gugulskiego;Patroni
Plac Juranda;Patroni
Plac Kajki;Patroni
Plac Króla Władysława Jagiełły;Patroni
Plac Księżnej Dąbrówki;Patroni
Plac Rawickiej Synagogi;Historyczne
Plac Saperów;Techniczne
Plac Xawerego Dunikowskiego;Patroni
Plac Zygmunta Starego;Patroni
Plac im. prof. Wiktora Wawrzyczka;Patroni
Plac św. Jana Apostoła;Patroni
Rondo 100-lecia Pruszkowa;Historyczne
Rondo 100-lecia odzyskania Niepodległości;Historyczne
Rondo 4 czerwca 1989 r.;Historyczne
Rondo Anny Walentynowicz;Patroni
Rondo Feliksa Stamma;Patroni
Rondo Jakuba hrabiego Potockiego;Patroni
Rondo Klimzowiec;Geograficzne
Rondo Kradziejówka;Geograficzne
Rondo Księdza Popiełuszki;Patroni
Rondo Mariana Bublewicza;Patroni
Rondo Mohylów Podolski;Geograficzne
Rondo Neustrelitz;Geograficzne
