Aleja 11 Listopada;Historyczne
Aleja Adama Mickiewicza;Patroni
Aleja Bolesława Krzywoustego;Patroni
Aleja Emila Wedla;Patroni
Aleja Siódma;Neutralne
Aleja Spacerowa;Neutralne
Aleja Słowiańska;Geograficzne
Aleja Tadeusza Konwickiego;Patroni
Aleja Tomasza Hopfera;Patroni
Aleja Zjednoczenia;Historyczne
Aleja gen. Antoniego Chruściela "Montera";Patroni
Aleja Świerkowa;Przyrodnicze
Ciąg Księżnej Augusty Montleart;Patroni
Deptak ks. Stanisława Olędzkiego;Patroni
Leśniczówka Smolary;Techniczne
Most Bolesława Krzywoustego;Patroni
Most Nadwiślańskiego Urzecza;Geograficzne
Most Świętego Antoniego;Patroni
Nabrzeże Cementowe;Techniczne
Nabrzeże Dolnośląskie;Geograficzne
Obrońców Ukrainy 2022 roku;Historyczne
Os. Cegielnia;Techniczne
Osiedle Avia;Techniczne
Osiedle Góra Hugona;Neutralne
Osiedle Jabłoniowe Wzgórze;Przyrodnicze
Osiedle Jana Brożka;Patroni
Osiedle Literatów;Techniczne
Osiedle Nad Wartą;Geograficzne
Osiedle Pitoniówka;Inne
Osiedle Podlubelki;Geograficzne
Osiedle Polana Sosny;Przyrodnicze
Osiedle Rzeczne;Przyrodnicze
Osiedle Rzeczypospolitej;Historyczne
Osiedle Stachówka;Inne
Osiedle Szpuntówka;Inne
Osiedle Teatralne;Techniczne
Osiedle Warmińskie;Geograficzne
Osiedle Wiosenne;Przyrodnicze
Osiedle Zagonie;Inne
Osiedle Zaziąbły;Inne
Park Solvay;Patroni
Park Zamkowy im. Pary Prezydenckiej Marii i Lecha Kaczyńskich;Patroni
Pl. Janusza Kusocińskiego;Patroni
Plac 11 Listopada;Historyczne
Plac 650-lecia;Historyczne
Plac Armii Poznań;Historyczne
Plac Atrakcji;Neutralne
Plac Bogdana Włosika;Patroni
Plac Bramy Wrocławskiej;Historyczne
Plac Garażowy;Techniczne
Plac Gladbeck;Geograficzne
Plac Górny;Neutralne
Plac Jana z Głogowa;Patroni
